JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
CR1|Plateforme Binance principal|000001|20250120|522001|Jetons détenus – BTC|||Trade 2025-01-20 10:00:00 UTC|20250120|Échange 2 000,00 USDT → 0,02 BTC (1 787,11 €) – 20/01/2025|1787,11|0,00|||20260916|0,02|BTC
CR1|Plateforme Binance principal|000001|20250120|522004|Jetons détenus – USDT|||Trade 2025-01-20 10:00:00 UTC|20250120|Échange 2 000,00 USDT → 0,02 BTC (1 787,11 €) – 20/01/2025|0,00|1790,58|||20260916|2000|USDT
CR1|Plateforme Binance principal|000001|20250120|667400|Charges nettes sur cessions de jetons|||Trade 2025-01-20 10:00:00 UTC|20250120|Moins-value sur cession de 2 000,00 USDT|3,47|0,00|||20260916||
CR1|Plateforme Binance principal|000001|20250120|627820|Commissions sur opérations d'échange de jetons|||Trade 2025-01-20 10:00:00 UTC|20250120|Frais 0,004 BNB|1,62|0,00|||20260916|0,004|BNB
CR1|Plateforme Binance principal|000001|20250120|522002|Jetons détenus – BNB|||Trade 2025-01-20 10:00:00 UTC|20250120|Frais 0,004 BNB|0,00|1,13|||20260916|0,004|BNB
CR1|Plateforme Binance principal|000001|20250120|767400|Produits nets sur cessions de jetons|||Trade 2025-01-20 10:00:00 UTC|20250120|Plus-value sur cession de 0,004 BNB|0,00|0,49|||20260916||
CR1|Plateforme Binance principal|000002|20250314|517101|Plateforme Binance principal – solde EUR|||Trade 2025-03-14 13:30:00 UTC|20250314|Vente 0,1 BTC contre 7 800,00 EUR (1 BTC = 78 000,0000 €) – 14/03/2025|7800,00|0,00|||20260916||
CR1|Plateforme Binance principal|000002|20250314|522001|Jetons détenus – BTC|||Trade 2025-03-14 13:30:00 UTC|20250314|Vente 0,1 BTC contre 7 800,00 EUR (1 BTC = 78 000,0000 €) – 14/03/2025|0,00|4581,34|||20260916|0,1|BTC
CR1|Plateforme Binance principal|000002|20250314|767400|Produits nets sur cessions de jetons|||Trade 2025-03-14 13:30:00 UTC|20250314|Plus-value sur cession de 0,1 BTC|0,00|3218,66|||20260916||
CR1|Plateforme Binance principal|000002|20250314|627820|Commissions sur opérations d'échange de jetons|||Trade 2025-03-14 13:30:00 UTC|20250314|Frais 7,8 EUR|7,80|0,00|||20260916||
CR1|Plateforme Binance principal|000002|20250314|517101|Plateforme Binance principal – solde EUR|||Trade 2025-03-14 13:30:00 UTC|20250314|Frais 7,8 EUR|0,00|7,80|||20260916||
CR1|Plateforme Binance principal|000003|20250502|522001|Jetons détenus – BTC|||Withdraw 2025-05-02 08:15:00 UTC|20250502|Transfert sortant 0,02 BTC vers un wallet non suivi (bc1qdemo7x8k2m3n4p5q6r7s8t9u0v1w2x3y4z5a6b) – 02/05/2025|0,00|1266,80|||20260916|0,02|BTC
CR1|Plateforme Binance principal|000003|20250502|471000|Compte d'attente – opérations à qualifier|||Withdraw 2025-05-02 08:15:00 UTC|20250502|Transfert sortant 0,02 BTC vers un wallet non suivi (bc1qdemo7x8k2m3n4p5q6r7s8t9u0v1w2x3y4z5a6b) – 02/05/2025|1266,80|0,00|||20260916||
CR1|Plateforme Binance principal|000004|20250701|580000|Virements internes|||Fiat Withdraw 2025-06-30 23:00:00 UTC|20250701|Retrait 3 000,00 EUR vers le compte bancaire – 01/07/2025|3000,00|0,00|||20260916||
CR1|Plateforme Binance principal|000004|20250701|517101|Plateforme Binance principal – solde EUR|||Fiat Withdraw 2025-06-30 23:00:00 UTC|20250701|Retrait 3 000,00 EUR vers le compte bancaire – 01/07/2025|0,00|3000,00|||20260916||
ODC|Opérations diverses – jetons|000001|20251231|522002|Jetons détenus – BNB|||INV-BNB-31122025|20251231|Gain latent – Valorisation de 0,49 BNB au 31/12/2025 (1 BNB = 346,8398 €)|31,49|0,00|||20260916|0,49|BNB
ODC|Opérations diverses – jetons|000001|20251231|475200|Différences d'évaluation de jetons détenus – Passif|||INV-BNB-31122025|20251231|Gain latent – Valorisation de 0,49 BNB au 31/12/2025 (1 BNB = 346,8398 €)|0,00|31,49|||20260916||
ODC|Opérations diverses – jetons|000002|20251231|522001|Jetons détenus – BTC|||INV-BTC-31122025|20251231|Gain latent – Valorisation de 0,0498 BTC au 31/12/2025 (1 BTC = 51 274,3534 €)|271,96|0,00|||20260916|0,0498|BTC
ODC|Opérations diverses – jetons|000002|20251231|475200|Différences d'évaluation de jetons détenus – Passif|||INV-BTC-31122025|20251231|Gain latent – Valorisation de 0,0498 BTC au 31/12/2025 (1 BTC = 51 274,3534 €)|0,00|271,96|||20260916||
ODC|Opérations diverses – jetons|000003|20251231|522003|Jetons détenus – ETH|||INV-ETH-31122025|20251231|Gain latent – Valorisation de 2,125 ETH au 31/12/2025 (1 ETH = 2 523,8705 €)|676,19|0,00|||20260916|2,125|ETH
ODC|Opérations diverses – jetons|000003|20251231|475200|Différences d'évaluation de jetons détenus – Passif|||INV-ETH-31122025|20251231|Gain latent – Valorisation de 2,125 ETH au 31/12/2025 (1 ETH = 2 523,8705 €)|0,00|676,19|||20260916||
ODC|Opérations diverses – jetons|000004|20251231|474200|Différences d'évaluation de jetons détenus – Actif|||INV-SOL-31122025|20251231|Perte latente – Valorisation de 3,2 SOL au 31/12/2025 (1 SOL = 131,3943 €)|79,54|0,00|||20260916||
ODC|Opérations diverses – jetons|000004|20251231|522007|Jetons détenus – SOL|||INV-SOL-31122025|20251231|Perte latente – Valorisation de 3,2 SOL au 31/12/2025 (1 SOL = 131,3943 €)|0,00|79,54|||20260916|3,2|SOL
ODC|Opérations diverses – jetons|000004|20251231|686500|Dotations aux provisions pour risques financiers|||INV-SOL-31122025|20251231|Dotation provision pour perte latente sur SOL|79,54|0,00|||20260916||
ODC|Opérations diverses – jetons|000004|20251231|151850|Provisions pour pertes latentes sur jetons|||INV-SOL-31122025|20251231|Dotation provision pour perte latente sur SOL|0,00|79,54|||20260916||
